timestamp,side,price
1469404799897461,:b,1.09684
1469404799897461,:a,1.0969
1469404800067762,:b,1.09684
1469404800067762,:a,1.09689
1469404800067890,:b,1.09684
1469404800067890,:a,1.09689
1469404800067942,:b,1.09684
1469404800067942,:a,1.09689
1469404800068334,:b,1.09684
1469404800068334,:a,1.09689
1469404800068378,:b,1.09684
1469404800068378,:a,1.09689
1469404800068480,:b,1.09684
1469404800068480,:a,1.09689
1469404800068493,:b,1.09684
1469404800068493,:a,1.09689
1469404800068505,:b,1.09684
1469404800068505,:a,1.09689
1469404800068664,:b,1.09684
1469404800068664,:a,1.09689
1469404800068692,:b,1.09684
1469404800068692,:a,1.09689
1469404800068708,:b,1.09684
1469404800068708,:a,1.09689
1469404800069021,:b,1.09684
1469404800069021,:a,1.09689
1469404800073099,:b,1.09684
1469404800073099,:a,1.09689
1469404800091431,:b,1.09684
1469404800091431,:a,1.09689
1469404800112130,:b,1.09684
1469404800112130,:a,1.09689
1469404800141562,:b,1.09684
1469404800141562,:a,1.09689
1469404800141596,:b,1.09684
1469404800141596,:a,1.09689
1469404800141818,:b,1.09684
1469404800141818,:a,1.09689
1469404800141834,:b,1.09684
1469404800141834,:a,1.09689
1469404800141842,:b,1.09684
1469404800141842,:a,1.09689
1469404800141909,:b,1.09684
1469404800141909,:a,1.09689
1469404800141996,:b,1.09684
1469404800141996,:a,1.09689
1469404800142225,:b,1.09684
1469404800142225,:a,1.09689
1469404800143476,:b,1.09684
1469404800143476,:a,1.09689
1469404800288570,:b,1.09684
1469404800288570,:a,1.09689
1469404800288655,:b,1.09684
1469404800288655,:a,1.09689
1469404800290227,:b,1.09684
1469404800290227,:a,1.09689
1469404800321616,:b,1.09684
1469404800321616,:a,1.09689
1469404800321844,:b,1.09684
1469404800321844,:a,1.09689
1469404800342472,:b,1.09684
1469404800342472,:a,1.09689
1469404800510182,:b,1.09684
1469404800510182,:a,1.09689
1469404800512347,:b,1.09684
1469404800512347,:a,1.09689
1469404800524061,:b,1.09684
1469404800524061,:a,1.09688
1469404800604156,:b,1.09684
1469404800604156,:a,1.09689
1469404800667699,:b,1.09684
1469404800667699,:a,1.09689
1469404800667700,:b,1.09684
1469404800667700,:a,1.09689
1469404800667725,:b,1.09687
1469404800667725,:a,1.09689
1469404800667754,:b,1.09687
1469404800667754,:a,1.09689
1469404800668180,:b,1.09687
1469404800668180,:a,1.09689
1469404800668184,:b,1.09687
1469404800668184,:a,1.09689
1469404800668217,:b,1.09687
1469404800668217,:a,1.09689
1469404800668245,:b,1.09687
1469404800668245,:a,1.09689
1469404800668320,:b,1.09687
1469404800668320,:a,1.09689
1469404800674743,:b,1.09687
1469404800674743,:a,1.09689
1469404800697854,:b,1.09687
1469404800697854,:a,1.09689
1469404800697961,:b,1.09687
1469404800697961,:a,1.09689
1469404800698065,:b,1.09687
1469404800698065,:a,1.09689
1469404800698112,:b,1.09687
1469404800698112,:a,1.09689
1469404800698193,:b,1.09687
1469404800698193,:a,1.09689
1469404800698256,:b,1.09687
1469404800698256,:a,1.09689
1469404800698283,:b,1.09688
1469404800698283,:a,1.09689
1469404800736867,:b,1.09688
1469404800736867,:a,1.09689
1469404800738996,:b,1.09688
1469404800738996,:a,1.09689
1469404800745039,:b,1.09688
1469404800745039,:a,1.09690
1469404800748419,:b,1.09688
1469404800748419,:a,1.09690
1469404800845888,:b,1.09688
1469404800845888,:a,1.09690
1469404800851726,:b,1.09688
1469404800851726,:a,1.09692
1469404800871086,:b,1.09688
1469404800871086,:a,1.09692
1469404800943663,:b,1.09688
1469404800943663,:a,1.09692
1469404800949325,:b,1.09688
1469404800949325,:a,1.09693
1469404800949948,:b,1.09688
1469404800949948,:a,1.09693
1469404800950014,:b,1.09688
1469404800950014,:a,1.09694
1469404800950142,:b,1.09688
1469404800950142,:a,1.09694
1469404800950186,:b,1.09688
1469404800950186,:a,1.09694
1469404800950220,:b,1.09688
1469404800950220,:a,1.09694
1469404800950287,:b,1.09688
1469404800950287,:a,1.09694
1469404800950316,:b,1.09688
1469404800950316,:a,1.09694
1469404800950317,:b,1.09688
1469404800950317,:a,1.09694
1469404800950621,:b,1.09688
1469404800950621,:a,1.09694
1469404800951144,:b,1.09688
1469404800951144,:a,1.09694
1469404800951165,:b,1.09688
1469404800951165,:a,1.09694
1469404800951186,:b,1.09688
1469404800951186,:a,1.09694
1469404800953115,:b,1.09688
1469404800953115,:a,1.09694
1469404800953622,:b,1.09688
1469404800953622,:a,1.09694
1469404800954722,:b,1.09688
1469404800954722,:a,1.09694
1469404800954744,:b,1.09688
1469404800954744,:a,1.09694
1469404800996505,:b,1.09688
1469404800996505,:a,1.09694
1469404801004342,:b,1.09688
1469404801004342,:a,1.09694
1469404801005327,:b,1.09688
1469404801005327,:a,1.09694
1469404801089480,:b,1.09688
1469404801089480,:a,1.09694
1469404801138537,:b,1.09688
1469404801138537,:a,1.09694
1469404801138687,:b,1.09688
1469404801138687,:a,1.09694
1469404801152295,:b,1.09688
